date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:05	4684/4684	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:05%20GMT	https://sz-vit.si/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/Slovenia/sz-vit.si/cdn-cgi/l/email-protection.html	(from https://sz-vit.si/)
20:51:06	36231/36231	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2012:32:50%20GMT	https://sz-vit.si/wp-content/uploads/2023/09/Group-1541.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/09/Group-1541.png	(from https://sz-vit.si/)
20:51:06	110/110	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Feb%202024%2019:58:39%20GMT	https://sz-vit.si/wp-content/plugins/bb-plugin/img/pixel.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/plugins/bb-plugin/img/pixel.png	(from https://sz-vit.si/)
20:51:06	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265de02d0-4d7%22	https://sz-vit.si/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Slovenia/sz-vit.si/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://sz-vit.si/)
20:51:06	23417/23417	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Feb%202024%2008:34:31%20GMT	https://sz-vit.si/wp-content/uploads/bb-plugin/cache/8375-layout.js?ver=40b7f1eef010c13f9a2183508cc38809	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/bb-plugin/cache/8375-layout3522.js	(from https://sz-vit.si/)
20:51:06	68253/68253	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:57%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/@fancyapps/fancybox/dist/jquery.fancybox.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/@fancyapps/fancybox/dist/jquery.fancybox.minca9d.js	(from https://sz-vit.si/)
20:51:07	89879/89879	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:06%20GMT	https://sz-vit.si/vzdrzevanje/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/index.html	(from https://sz-vit.si/)
20:51:07	68366/68366	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:18:01%20GMT	https://sz-vit.si/wp-content/themes/emigma/assets/js/scripts.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/assets/js/scripts.minca9d.js	(from https://sz-vit.si/)
20:51:07	36163/36163	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:29%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/autocomplete.js/dist/autocomplete.jquery.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/autocomplete.js/dist/autocomplete.jquery.minca9d.js	(from https://sz-vit.si/)
20:51:07	25639/25639	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Dec%202023%2010:17:23%20GMT	https://sz-vit.si/wp-content/themes/emigma/dist/js/all.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/dist/js/all.minca9d.js	(from https://sz-vit.si/)
20:51:07	58862/58862	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:43%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/moment/min/moment.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/moment/min/moment.minca9d.js	(from https://sz-vit.si/)
20:51:07	49113/49113	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:07%20GMT	https://sz-vit.si/vleka/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vleka/index.html	(from https://sz-vit.si/)
20:51:08	7091/7091	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:43%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/moment/locale/sl.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/moment/locale/slca9d.js	(from https://sz-vit.si/)
20:51:08	14152/14152	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:28%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/smartwizard/dist/js/jquery.smartWizard.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/smartwizard/dist/js/jquery.smartWizard.minca9d.js	(from https://sz-vit.si/)
20:51:08	61588/61588	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2014:17:27%20GMT	https://sz-vit.si/wp-content/themes/emigma/node_modules/tempusdominus-bootstrap-4/build/js/tempusdominus-bootstrap-4.min.js?ver=0.8.1	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/node_modules/tempusdominus-bootstrap-4/build/js/tempusdominus-bootstrap-4.minca9d.js	(from https://sz-vit.si/)
20:51:09	49951/49951	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:08%20GMT	https://sz-vit.si/tvd/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/tvd/index.html	(from https://sz-vit.si/)
20:51:10	54591/54591	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:09%20GMT	https://sz-vit.si/aktualno/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/aktualno/index.html	(from https://sz-vit.si/)
20:51:10	88142/88142	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:09%20GMT	https://sz-vit.si/kontakti/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/kontakti/index.html	(from https://sz-vit.si/)
20:51:10	51933/51933	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:10%20GMT	https://sz-vit.si/novice/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/novice/index.html	(from https://sz-vit.si/)
20:51:10	93750/93750	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:10%20GMT	https://sz-vit.si/o-nas/politika-kakovosti-in-certifikati/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/o-nas/politika-kakovosti-in-certifikati/index.html	(from https://sz-vit.si/)
20:51:11	34287/34287	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2008:38:05%20GMT	https://sz-vit.si/wp-content/uploads/bb-plugin/cache/8378-layout.css?ver=b46586ca3fc889ba675f7f4b2ac2e489	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/bb-plugin/cache/8378-layout1964.css	(from https://sz-vit.si/en/)
20:51:11	49370/49370	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:11%20GMT	https://sz-vit.si/novice/nov-vzdrzevalni-objekt-za-zelezniska-vozila-v-neposredni-blizini-pristanisca-v-kopru/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/novice/nov-vzdrzevalni-objekt-za-zelezniska-vozila-v-neposredni-blizini-pristanisca-v-kopru/index.html	(from https://sz-vit.si/)
